category,avg_delivery_days,avg_review_score,orders
Office Furniture,20.64,3.64,1254
Fashion Shoes,15.73,4.27,235
Christmas Supplies,15.37,4.11,125
Security And Services,15.14,2.5,2
Home Comfort 2,14.5,3.83,24
Furniture Mattress And Upholstery,14.43,3.89,37
Fashion Underwear Beach,14.0,4.01,117
Computers,13.91,4.22,177
Home Appliances 2,13.89,4.15,227
Furniture Living Room,13.86,4.07,414
Consoles Games,13.77,4.18,1018
Home Confort,13.71,3.89,392
Furniture Bedroom,13.66,4.26,90
Garden Tools,13.63,4.18,3448
Audio,13.47,3.84,348
Home Construction,13.44,3.99,483
Computers Accessories,13.17,4.08,6529
Musical Instruments,13.07,4.23,611
Furniture Decor,13.07,4.06,6307
Fashio Female Clothing,13.0,3.92,36
Bed Bath Table,12.99,4.0,9272
Dvds Blu Ray,12.98,4.2,56
Telephony,12.96,4.05,4093
Electronics,12.92,4.12,2517
Fashion Male Clothing,12.86,3.82,106
Tablets Printing Image,12.83,4.16,79
Watches Gifts,12.81,4.12,5493
Stationery,12.78,4.29,2264
Unknown,12.73,4.01,1392
Baby,12.68,4.1,2809
Fixed Telephony,12.53,3.97,212
Cool Stuff,12.38,4.22,3559
Auto,12.33,4.15,3809
Sports Leisure,12.24,4.23,7529
Market Place,12.24,4.09,274
Costruction Tools Tools,12.21,4.43,97
Health Beauty,12.08,4.23,8647
Perfumery,11.91,4.26,3086
Air Conditioning,11.88,4.12,246
Costruction Tools Garden,11.87,4.25,190
Kitchen Dining Laundry Garden Furniture,11.83,4.13,241
Construction Tools Safety,11.8,3.97,159
Toys,11.73,4.24,3803
Music,11.66,4.21,38
Books General Interest,11.53,4.53,495
Flowers,11.49,4.39,29
Agro Industry And Commerce,11.43,4.11,177
Pet Shop,11.37,4.27,1688
Home Appliances,11.31,4.22,747
Art,11.26,4.1,195
Fashion Bags Accessories,11.23,4.24,1820
Housewares,11.09,4.19,5743
Small Appliances,10.98,4.26,609
Cds Dvds Musicals,10.92,4.67,12
Industry Commerce And Business,10.89,4.22,231
Signaling And Security,10.87,4.12,138
Luggage Accessories,10.87,4.37,1019
Construction Tools Construction,10.86,4.13,736
Food Drink,10.82,4.45,221
Fashion Sport,10.64,4.38,26
Books Technical,10.63,4.43,256
Diapers And Hygiene,10.49,3.96,25
Cine Photo,10.47,4.33,63
Drinks,10.38,4.24,287
Pc Gamer,10.34,3.43,7
Small Appliances Home Oven And Coffee,9.93,4.43,72
Construction Tools Lights,9.83,4.15,242
Food,9.79,4.33,441
Party Supplies,9.0,4.08,38
Fashion Childrens Clothes,8.82,5.0,7
Portateis Cozinha E Preparadores De Alimentos,8.44,3.62,13
Books Imported,8.18,4.44,50
La Cuisine,7.74,4.25,13
Arts And Craftmanship,5.8,4.17,23
