category,product_revenue,orders,item_lines
Health Beauty,1233131.72,8647,9465
Watches Gifts,1166176.98,5495,5859
Bed Bath Table,1023434.76,9272,10953
Sports Leisure,954852.55,7530,8431
Computers Accessories,888724.61,6530,7644
Furniture Decor,711927.69,6307,8160
Housewares,615628.69,5743,6795
Cool Stuff,610204.1,3559,3718
Auto,578966.65,3810,4140
Toys,471286.48,3804,4030
Garden Tools,470495.28,3448,4268
Baby,400421.84,2809,2982
Perfumery,390144.65,3086,3340
Telephony,309860.23,4093,4430
Office Furniture,268154.31,1254,1668
Stationery,223788.69,2264,2466
Computers,218684.14,177,199
Pet Shop,211695.64,1688,1924
Musical Instruments,184315.74,611,651
Small Appliances,182754.12,609,658
Unknown,170726.63,1392,1537
Electronics,155043.93,2517,2729
Fashion Bags Accessories,149329.39,1820,1985
Consoles Games,148003.37,1018,1089
Construction Tools Construction,142108.49,736,916
Luggage Accessories,138701.63,1019,1077
Home Appliances 2,107953.95,227,231
Home Construction,81407.57,483,596
Home Appliances,78832.48,747,754
Agro Industry And Commerce,70566.1,177,206
Furniture Living Room,67350.7,414,495
Home Confort,58008.45,392,429
Fixed Telephony,55315.21,212,255
Air Conditioning,53323.56,246,289
Audio,50570.6,348,362
Small Appliances Home Oven And Coffee,46589.56,72,73
Kitchen Dining Laundry Garden Furniture,45531.98,241,274
Books General Interest,45302.15,496,537
Construction Tools Lights,39957.0,242,301
Construction Tools Safety,38773.22,159,183
Industry Commerce And Business,38498.81,232,265
Food,28731.15,441,499
Market Place,27795.77,274,305
Costruction Tools Garden,25096.28,190,232
Art,23657.3,195,197
Fashion Shoes,23001.46,235,257
Drinks,21529.84,287,361
Signaling And Security,21315.05,138,197
Furniture Bedroom,19051.8,90,103
Books Technical,18702.23,256,263
Costruction Tools Tools,15903.95,97,103
Food Drink,14942.88,221,269
Fashion Male Clothing,10452.33,106,125
Fashion Underwear Beach,9305.95,117,127
Christmas Supplies,8737.84,125,150
Tablets Printing Image,7528.41,79,83
Cine Photo,6674.47,63,70
Music,6034.35,38,38
Dvds Blu Ray,4542.59,56,61
Party Supplies,4465.19,38,42
Books Imported,4418.86,50,57
Furniture Mattress And Upholstery,4323.38,37,37
Portateis Cozinha E Preparadores De Alimentos,3933.63,13,14
Fashio Female Clothing,2634.94,36,45
Fashion Sport,2094.52,26,29
La Cuisine,2054.99,13,14
Arts And Craftmanship,1814.01,23,24
Diapers And Hygiene,1500.79,25,37
Pc Gamer,1306.95,7,8
Flowers,1110.04,29,33
Home Comfort 2,760.27,24,30
Cds Dvds Musicals,730.0,12,14
Fashion Childrens Clothes,519.95,7,7
Security And Services,283.29,2,2
